code,name
AGPP,Attiguppe
APRC,Konanakunte Cross
APTS,Silk Institute
BGUC,Jnanabharathi
BIET,Madavara
BMSD,Delta Electronics Bommasandra
BNSK,Banashankari
BRCS,Krantivira Sangolli Rayanna Railway Station
BSNK,Banashankari
BSRD,Hosa Road
BTML,BTM Layout
BYPH,Baiyappanahalli
CBPK,Cubbon Park
CHPK,Chickpete
CKBR,Singasandra
CKPE,Chickpete
CLG,Challaghatta
CLGA,Challaghatta
CLGT,Challaghatta
DJNR,Deepanjali Nagar
DKIA,Hoodi
DSH,Dasarahalli
ECTN,Infosys Foundation Konappana Agrahara
ETCT,Electronic City
GDCP,Garudacharpalya
HBGI,Biocon Hebbagodi
HLRU,Halasuru
HOSR,Beratena Agrahara
HSKR,Huskur Road
HSLI,Sri Balagangadharanatha Swamiji Station, Hosahalli
HSRL,Bommanahalli
IDN,Indiranagar
ITPL,Pattandur Agrahara
JAYN,Jayanagar
JDHP,Jayadeva Hospital
JHLI,Jalahalli
JIDL,Chikkabidarakallu
JLHL,Jalahalli
JPN,Jaya Prakash Nagar
JTPM,Benniganahalli
JYN,Jayanagar
KDGD,Kadugodi Tree Park
KDNH,Kundalahalli
KGIT,Kengeri
KGWA,Nadaprabhu Kempegowda Station, Majestic
KLPK,Doddakallasandra
KRMA,Krishnarajapura
KRMT,Krishna Rajendra Market
KRPM,Krishnarajapura
KVPR,Mahakavi Kuvempu Road
LAGH,Lalbagh
LBGH,Lalbagh
MAGR,Mahatma Gandhi Road
MDVP,Singayyanapalya
MGRD,Mahatma Gandhi Road
MHLI,Mahalakshmi
MIRD,Magadi Road
MLSD,Kengeri Bus Terminal
MNJN,Manjunathanagara
MSRN,Kudlu Gate
MYRD,Mysore Road
NGSA,Nagasandra
NLC,National College
NYHM,Pantharapalya - Nayandahalli
OFDC,Hongasandra
PATC,Pattanagere
PATG,Pattanagere
PEYA,Peenya
PUTH,Yelachenahalli
PYID,Peenya Industry
RGDT,Ragigudda
RJNR,Rajajinagar
RRRN,Rajarajeshwari Nagar
RVR,Rashtreeya Vidyalaya Road
RVRD,Rashtreeya Vidyalaya Road
SBJT,Central Silk Board
SECE,South End Circle
SPGD,Mantri Square Sampige Road
SPRU,Srirampura
SSFY,Sandal Soap Factory
SSHP,Sri Sathya Sai Hospital
SVRD,Swami Vivekananda Road
TGTP,Thalaghattapura
TTY,Trinity
UWVL,Hopefarm Channasandra
VDHP,Nallurahalli
VDSA,Dr. B. R. Ambedkar Station, Vidhana Soudha
VJN,Vijayanagar
VJNR,Vijayanagar
VJRH,Vajarahalli
VSWA,Sir M. Visvesvaraya Stn., Central College
VWIA,Seetharampalya
WHTM,Whitefield (Kadugodi)
YPI,Goraguntepalya
YPM,Yeshwantpur
